expression	gene	Subtype
2.14782766837732	CD80	high
2.42131756793318	CD80	high
1.7620936369911	CD80	high
2.95863854960765	CD80	high
2.7383787429764	CD80	high
2.27500704749987	CD80	high
2.56871314907608	CD80	high
2.86714527652205	CD80	high
2.40081114140935	CD80	high
2.01410529940556	CD80	high
2.17312743348066	CD80	high
2.4998331339215	CD80	high
2.46910452186831	CD80	high
1.42728434617368	CD80	low
2.91337773452793	CD80	low
2.07145378144536	CD80	low
2.77772479287386	CD80	low
2.3015291182338	CD80	low
1.89696928962066	CD80	low
2.73283357474093	CD80	low
2.47441008359377	CD80	low
2.88723280291461	CD80	low
2.62060986871711	CD80	low
1.82574493027468	CD80	low
2.60487786842884	CD80	low
2.33619768066275	CD80	low
2.75217054140268	CD80	low
1.97911075501579	CD80	low
2.39856927559498	CD80	low
2.52019592567072	CD80	low
1.73092248999016	CD80	low
2.56936956603177	CD80	low
2.4389847533699	CD80	low
2.92795332626252	CD80	low
2.38230757156467	CD80	low
0.765280130653714	CD80	low
2.93016960815008	CD80	low
2.93676041566833	CD80	low
2.49909325758563	CD80	low
2.25963405719238	CD80	low
2.69438992740731	CD80	low
2.29507645827399	CD80	low
2.53044535469291	CD80	low
2.16661904786798	CD80	low
2.41578570328267	CD80	low
1.98075651923102	CD80	low
2.33742566428269	CD80	low
2.38769339625331	CD80	low
2.2321388365289	CD80	low
2.57477969393804	CD80	low
1.40865752120981	CD80	low
2.70504897139368	CD80	low
2.51563676826979	CD80	low
2.58633241040588	CD80	low
2.50578932791007	CD80	low
2.08532267137752	CD80	low
1.71887668455256	CD80	low
1.69144483119114	CD80	low
2.53751972340334	CD80	low
2.25184025875472	CD80	low
2.14375257827114	CD80	low
2.2349610948395	CD80	low
2.38796905115239	CD80	low
2.39835037034596	CD80	low
1.62372642396227	CD80	low
2.1902671809595	CD80	low
2.64685387894268	CD80	low
2.04575747754748	CD80	low
2.29180981095986	CD80	low
2.20263712618984	CD80	low
2.4067815429602	CD80	low
2.31234570088097	CD80	low
2.68070692414537	CD80	low
2.28838809505496	CD80	low
1.91333943475382	CD80	low
2.60987313353188	CD80	low
2.52764589705712	CD80	low
1.43520185588707	CD80	low
2.33628338786443	CD80	low
2.69314122683029	CD80	low
2.57284117365458	CD80	low
2.47814347326819	CD80	low
2.17890581945757	CD80	low
2.60307438074238	CD80	low
2.78642908320306	CD80	low
1.64841942331277	CD80	low
2.22060856006593	CD80	low
1.98418829284209	CD80	low
2.63124400393307	CD80	low
1.82085291380658	CD80	low
2.48150561657706	CD80	low
1.81163543085374	CD80	low
2.71903007067025	CD80	low
0.642285683059577	CD80	low
2.69739575190089	CD80	low
2.34993137336011	CD80	low
2.4365349937602	CD80	low
2.11799418804442	CD80	low
2.62196979588382	CD80	low
2.31394235729235	CD80	low
2.27703255187479	CD80	low
2.08929474904246	CD80	low
2.31863499463164	CD80	low
1.96805387757936	CD80	low
2.68932152772748	CD80	low
1.52566800737528	CD80	low
2.29648677491032	CD80	low
2.53868714337703	CD80	low
2.70063946208788	CD80	low
2.99188006614367	CD80	low
1.34420357247843	CD80	low
2.81782788059395	CD80	low
2.68927679299752	CD80	low
2.80523053602986	CD80	low
2.64180032791521	CD80	low
2.66213712386077	CD80	low
2.5054082573458	CD80	low
2.64196213110672	CD80	low
2.34007796631173	CD80	low
1.95404737934092	CD80	low
2.58815693553644	CD80	low
2.79871414703216	CD80	low
2.00529218582908	CD80	low
0.630032633893767	CD80	low
2.67838746014026	CD80	low
2.6161459356086	CD80	low
1.69852965776823	CD80	low
2.92195039926712	CD80	low
2.02548953259701	CD80	low
2.1624678676153	CD80	low
1.5634022205888	CD80	low
2.444481550409	CD80	low
1.86457246275713	CD80	low
2.38992468789694	CD80	low
1.65796006052111	CD80	low
1.83503474443553	CD80	low
2.34970496170854	CD80	low
2.12336822499247	CD80	low
2.6383750914369	CD80	low
2.87764610409088	CD80	low
2.2001276542736	CD80	low
2.70650845056811	CD80	low
2.36560855948914	CD80	low
2.4406864838672	CD80	low
2.61327232167913	CD80	low
1.62372642396227	CD80	low
2.58501058975437	CD80	low
2.74457016004575	CD80	low
1.86473092231475	CD80	low
2.41093803322841	CD80	low
2.17574813363979	CD80	low
1.82700600963898	CD80	low
2.63682179955641	CD80	low
1.93952749967557	CD80	low
2.11196608960349	CD80	low
1.34170116392739	CD80	low
2.53878645466232	CD80	low
2.09281632719464	CD80	low
2.66539277104189	CD80	low
2.39223498070663	CD80	low
1.82716864929203	CD80	low
2.20263712618984	CD80	low
2.40650945955549	CD80	low
2.41115503695776	CD80	low
2.5228592551917	CD80	low
1.95091627064406	CD80	low
2.5100757818138	CD80	low
3.53595340059943	CD276	high
3.52968354045774	CD276	high
3.52550514881967	CD276	high
3.556772727434	CD276	high
3.65319762851025	CD276	high
3.5013627089597	CD276	high
3.50916375794596	CD276	high
3.55129452078999	CD276	high
3.56843347335538	CD276	high
3.68424648218338	CD276	high
3.57246528393719	CD276	high
3.6203987305972	CD276	high
3.64502141667946	CD276	high
3.57510656252665	CD276	high
3.60731847620327	CD276	high
3.55543580266378	CD276	high
3.61843836339853	CD276	high
3.56072718065183	CD276	high
3.64989132655884	CD276	high
3.51285895444998	CD276	high
3.6724253419715	CD276	high
3.52638186256192	CD276	high
3.69584909107101	CD276	high
3.74667823154279	CD276	high
3.60455767668695	CD276	high
3.67644795955089	CD276	high
3.63267537035077	CD276	high
3.64013501241256	CD276	high
3.58627235391499	CD276	high
3.65488230383115	CD276	high
3.56963690955979	CD276	high
3.64645070648318	CD276	high
3.59898445930874	CD276	high
3.74717253703546	CD276	high
3.61452139817027	CD276	high
3.61093624041816	CD276	high
3.62107895393881	CD276	high
3.59740006834612	CD276	high
3.63238455718264	CD276	high
3.74231886873527	CD276	high
3.59780526620259	CD276	high
3.53500781159834	CD276	high
3.59260055212334	CD276	high
3.59769801902125	CD276	high
3.64640462245577	CD276	high
3.69537029164271	CD276	high
3.50517956668337	CD276	high
3.73396166330892	CD276	high
3.64280552529667	CD276	high
3.68683664997608	CD276	high
3.5628041262619	CD276	high
3.67196134189943	CD276	high
3.70704985138248	CD276	high
3.51426115628916	CD276	high
3.56423181845005	CD276	high
3.64554027426848	CD276	high
3.71963250116068	CD276	high
3.68467289009167	CD276	high
3.69141132961693	CD276	high
3.66895871225172	CD276	high
3.58522697056966	CD276	high
3.73592287026978	CD276	high
3.55222949842233	CD276	high
3.65739991711865	CD276	high
3.64289792208748	CD276	high
3.65584409292745	CD276	high
3.66181799397209	CD276	high
3.58410865353392	CD276	high
3.47103134427153	CD276	high
3.69894075638756	CD276	high
3.66084877415847	CD276	high
3.54192365250819	CD276	high
3.64535581294829	CD276	high
3.68396588191703	CD276	high
3.51827074655579	CD276	high
3.6119395670022	CD276	high
3.6936096162111	CD276	high
3.59305492166988	CD276	high
3.64525204309024	CD276	high
3.60230246373394	CD276	high
3.71582749255764	CD276	high
3.63133714412748	CD276	high
3.46817925368667	CD276	high
3.66237642495929	CD276	high
3.6056484090584	CD276	high
3.60827700289707	CD276	high
3.58514282633115	CD276	high
3.58803697187061	CD276	high
3.73052040561182	CD276	high
3.53060765655867	CD276	high
3.56610885192817	CD276	high
3.61110154221454	CD276	high
3.64929354696714	CD276	high
3.69986252467835	CD276	high
3.59436939583103	CD276	high
3.50117160074243	CD276	high
3.45263496727342	CD276	high
3.60157767344445	CD276	high
3.64027386214872	CD276	high
3.7259483313918	CD276	high
3.57684861200994	CD276	high
3.64154602908752	CD276	high
3.5905062118192	CD276	high
3.58748501048987	CD276	high
3.62380834772639	CD276	high
3.51115173508463	CD276	high
3.70266862395543	CD276	high
3.58212240679875	CD276	high
3.68186525924321	CD276	high
3.46716207735249	CD276	high
3.6025756508167	CD276	high
3.71117549605612	CD276	high
3.62204010208866	CD276	high
3.7011830694304	CD276	high
3.61826215206602	CD276	high
3.64427162612654	CD276	high
3.57637701460747	CD276	high
3.63699575866106	CD276	high
3.69912960026818	CD276	high
3.70601106670456	CD276	high
3.55334821456884	CD276	high
3.69917403053029	CD276	high
3.63120907480985	CD276	high
3.60360854298382	CD276	high
3.69142249689477	CD276	high
3.70160450149798	CD276	high
3.61203396182289	CD276	high
3.52470311547277	CD276	high
3.70242483187482	CD276	high
3.67447195081928	CD276	high
3.58561156746049	CD276	high
3.69434534956372	CD276	high
3.62681290399521	CD276	high
3.5440278255416	CD276	high
3.69057353732565	CD276	high
3.55780217348035	CD276	high
3.63612575330327	CD276	high
3.59607642371051	CD276	high
3.56064159523444	CD276	high
3.61754533750153	CD276	high
3.62091479145989	CD276	high
3.65296826887464	CD276	high
3.65130432013067	CD276	high
3.48940163914503	CD276	high
3.54090760023526	CD276	high
3.57746508379063	CD276	high
3.57091218528312	CD276	high
3.64559791359461	CD276	high
3.6001864820979	CD276	high
3.52872133135283	CD276	high
3.50304337056886	CD276	high
3.59396323168396	CD276	high
3.72197411276289	CD276	high
3.47027654480301	CD276	low
3.57617139825481	CD276	low
3.60635931224085	CD276	low
3.58484227112478	CD276	low
3.68292156953033	CD276	low
3.52417653867265	CD276	low
3.69700646109314	CD276	low
3.56529252058102	CD276	low
3.59943682303214	CD276	low
3.63640421210377	CD276	low
3.66249036391378	CD276	low
3.70190386527979	CD276	low
3.56011574482485	CD276	low
3.54921325141424	CD276	low
3.61209295544962	CD276	low
3.71932584070916	CD276	low
3.67250454658383	CD276	low
3.76054032698825	CD276	low
3.71727611389796	CD276	low
3.6085017503099	CD276	low
3.59856768298774	CD276	low
3.59805547862571	CD276	low
3.65319762851025	CD276	low
3.57108213690538	CD276	low
3.65260121759652	CD276	low
3.65830289815512	CD276	low
3.6389658305939	CD276	low
3.64754476970897	CD276	low
3.53276578338685	CD276	low
3.72519581722666	CD276	low
3.70598895677458	CD276	low
3.64439854115443	CD276	low
3.79811274326184	CD276	low
3.62726830200383	CD276	low
3.7295092659898	CD276	low
3.60751970128263	CD276	low
3.67975031561073	CD276	low
3.74798884479788	CD276	low
3.4628637701567	CD276	low
3.70119416132531	CD276	low
3.52484099668951	CD276	low
3.64125699872677	CD276	low
3.46952135022641	CD276	low
3.76884066787742	CD276	low
3.65788005334905	CD276	low
3.50029217673417	CD276	low
3.6365434213518	CD276	low
3.6706590814004	CD276	low
3.68991413198345	CD276	low
3.68142677573919	CD276	low
3.63838667688289	CD276	low
3.72334012025117	CD276	low
3.60593281236936	CD276	low
3.71556395051172	CD276	low
3.68456068970268	CD276	low
3.64232034503685	CD276	low
3.59850813368341	CD276	low
3.55826763405574	CD276	low
3.59710205612441	CD276	low
3.60151824825482	CD276	low
3.65218817325313	CD276	low
3.58066408590745	CD276	low
3.62744341681457	CD276	low
3.63816653749823	CD276	low
3.7278224568548	CD276	low
3.63631139847527	CD276	low
3.60775640074271	CD276	low
3.60448651331492	CD276	low
3.58866067403132	CD276	low
3.66172680103636	CD276	low
3.73209550115481	CD276	low
3.5965297000382	CD276	low
3.66286629863201	CD276	low
3.44281082813601	CD276	low
3.61619299638108	CD276	low
3.56313371911268	CD276	low
3.77142079954402	CD276	low
3.61542806855167	CD276	low
3.78965622808676	CD276	low
3.66554058058466	CD276	low
3.54622773445293	CD276	low
3.7712411857413	CD276	low
3.56303606982142	CD276	low
3.68168538469666	CD276	low
3.57075435513387	CD276	low
3.64647374794487	CD276	low
3.68089816975998	CD276	low
3.65669085241421	CD276	low
3.70511534339659	CD276	low
3.66397075204048	CD276	low
3.74452710608888	CD276	low
3.67933371131367	CD276	low
3.56887120267811	CD276	low
3.60226682682211	CD276	low
3.68791171696721	CD276	low
3.62640409104799	CD276	low
3.61745130261122	CD276	low
3.51351601147968	CD276	low
3.57257442329958	CD276	low
3.63339633414744	CD276	low
3.59638657553006	CD276	low
3.63981097771678	CD276	low
3.67336420259819	CD276	low
3.66776726030327	CD276	low
3.60774456669198	CD276	low
3.72376605000112	CD276	low
3.55147910384982	CD276	low
3.65211932103077	CD276	low
3.59433356241734	CD276	low
3.6928958193088	CD276	low
3.62940325189295	CD276	low
3.61669880275621	CD276	low
3.62789861587175	CD276	low
3.53939458715935	CD276	low
3.60778006855295	CD276	low
3.59865104788461	CD276	low
3.56186376250018	CD276	low
3.59555139945614	CD276	low
3.62399558457727	CD276	low
3.59402296887754	CD276	low
3.68806843065787	CD276	low
3.72697286442553	CD276	low
3.5772233615461	CD276	low
3.61321337625946	CD276	low
3.75932630467851	CD276	low
3.66079174094567	CD276	low
3.69308545605907	CD276	low
3.56369507430946	CD276	low
3.51280839920447	CD276	low
3.63476749645646	CD276	low
3.65974192721777	CD276	low
3.58658462037084	CD276	low
3.6734320483669	CD276	low
3.5269076351908	CD276	low
3.54452247939244	CD276	low
3.72324181091013	CD276	low
3.65215374755269	CD276	low
3.64461773172693	CD276	low
3.64578234396466	CD276	low
3.5709000451154	CD276	low
3.65221112326372	CD276	low
3.64305960223376	CD276	low
3.67300230460302	CD276	low
3.70007344906382	CD276	low
3.59307883189297	CD276	low
3.59020677200292	CD276	low
3.67130469657403	CD276	low
3.64702663265485	CD276	low
3.62777024093527	CD276	low
3.63823605882764	CD276	low
3.60150636292316	CD276	low
3.83324431680607	CD276	low
3.64004243849714	CD276	low
3.65067266478642	CD276	low
3.26408598762516	CD86	high
2.89464317452094	CD86	high
3.0834857097474	CD86	high
2.85861763038128	CD86	high
2.498991175893	CD86	high
3.33499724490688	CD86	high
3.19762953483036	CD86	high
3.09872272634291	CD86	high
3.12023580338533	CD86	high
3.14303416968003	CD86	high
3.25648233816527	CD86	high
2.84036251865844	CD86	high
3.3260339277173	CD86	high
3.20584602101943	CD86	high
3.12273897195455	CD86	high
2.52069881714293	CD86	high
3.26348517760465	CD86	high
2.82081207722872	CD86	high
3.22975709880675	CD86	high
2.71023888498379	CD86	high
3.34306665209895	CD86	high
3.01119146719541	CD86	high
2.94789053779717	CD86	high
3.02773794873992	CD86	high
3.38447812966481	CD86	high
3.25723696473384	CD86	high
2.50809900089128	CD86	high
3.08110097668193	CD86	high
3.27279958613779	CD86	high
2.69052884140146	CD86	high
3.26116972020375	CD86	high
2.67339812588137	CD86	high
3.03999813837601	CD86	high
3.04687516895572	CD86	high
2.48848930140445	CD86	high
3.08511867999656	CD86	high
3.16800012451782	CD86	high
3.09567129340066	CD86	high
2.92330133540597	CD86	high
3.27514117613415	CD86	high
3.12505591679057	CD86	high
3.10844081985876	CD86	high
3.13986236801564	CD86	high
3.17661000633204	CD86	high
3.07145378144536	CD86	high
3.30392683648069	CD86	high
3.26106438379039	CD86	high
3.31710142842326	CD86	high
3.22806444476112	CD86	high
3.37730424828552	CD86	high
3.07054389407988	CD86	high
3.40660469458413	CD86	high
3.35345033307765	CD86	high
2.36246988875021	CD86	high
2.71468512916976	CD86	high
3.22863401371108	CD86	high
3.2556064765535	CD86	high
3.01192494847971	CD86	high
2.95719028419401	CD86	high
3.25433704386871	CD86	high
3.25883546883112	CD86	high
3.25482076898885	CD86	high
2.88334710833732	CD86	high
3.22359245048114	CD86	high
3.29504706201214	CD86	high
2.00371016494035	CD86	high
3.24490227734539	CD86	high
3.09702078900647	CD86	high
2.9430586388904	CD86	high
2.90783284859943	CD86	high
3.34775068493714	CD86	high
2.78653363465582	CD86	high
3.14738811268178	CD86	high
3.22855705807308	CD86	high
3.23753312649544	CD86	high
3.04162849061983	CD86	high
3.25026430451683	CD86	high
2.61221093546661	CD86	high
