Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-61-1910-01	0	0.0911878268419746	0.0249692445290416	0	0	0.228960291540326	0	0.0846741540237072	0.0514172919782695	0	0.0169419727069672	0.0376438693717838	0.0669506477971037	0.0288750551938369	0.0723220225936726	0.170133668427331	0.0166547203534579	0.0615801554494937	0	0.0476890791930342	0	0	0	0.198750575982556	1.00274795914324
TCGA-61-1728-01	0	0	0.235845341373284	0.0419983704351818	0	0.115398759001808	0	0.0876178783538409	0.040844025821417	0	0.00584110530740126	0.071616087150832	0.0687937332828745	0.0569720823618005	0.0565714831790849	0.163883281214567	0	0.0108880153186437	0	0.0383298235753713	0	0.00540001362389369	0	0.196483526048611	0.995422709543633
TCGA-09-1666-01	0.00285145364309082	0	0.094012396854335	0.0272689950761791	0	0.0876745968366772	0	0.191114090374809	0.00495849769690237	0	0.0500305572747318	0.0400502414906959	0.0365697758225465	0.128981320768678	0.0725318446026718	0.20870375923069	0	0.0552524703279919	0	0	0	0	0	0.327839075703579	0.949273750865294
TCGA-24-1469-01	0.0851490839087346	0	0.170521386425371	0.0297644548658691	0	0.139110280916557	0	0.106979202594737	0.0428312417665204	0	0.00875253155416712	0.0407438138556293	0.0286416489514113	0.128305146905939	0.0533622232868469	0.101472765367989	0	0.0631958673645679	0	0.0011703522356603	0	0	0	0.254761287315397	0.975226969686669
TCGA-04-1348-01	0	0.0155734940991471	0.102960020570495	0.151707897991265	0	0.0976966785961936	0.013847290186746	0.129463192074018	0.056166852265461	0	0	0.0376329689564553	0.102062427759165	0.0910347870144603	0.0668164765732088	0.12090287723771	0	0.0141350366756746	0	0	0	0	0	0.379960083771905	0.925020959052256
TCGA-61-1917-01	0.0537709220095536	0	0.0591758261078582	0.0929386634929058	0	0.171561610911654	0	0.096510929999313	0.0211448123358461	0	0.00329109631104639	0.0563530076033076	0.0989883474308339	0.112687135563935	0.078022221575554	0.141157207428146	0	0.0143982192300459	0	0	0	0	0	0.331689026461827	0.947433543504851
TCGA-61-2009-01	0	0.0775072902332573	0.0982571604780079	0.179565625084232	0	0.0616389462869659	0	0.0979908672800585	0.00800937001612329	0	0.00767665680610327	0.0501191427899523	0.0599455537456853	0.0354688476387136	0.0554818065549832	0.167092711972515	0.0512212131821912	0.0203007831938822	0.0297240247373287	0	0	0	0	0.307096377631393	0.954754593349683
TCGA-31-1950-01	0.134145311723182	0	0.182936113946356	0.022957899875775	0	0.051937573285141	0	0.1367196555271	0.0278369664904805	0	0	0.0658061315171998	0.0731438602729763	0.0771146861206124	0.0351379040218736	0.125951893100397	0	0.0663120041189068	0	0	0	0	0	0.264474484081197	0.969512484263661
TCGA-31-1951-01	0	0	0.119885922976121	0.0300072091515319	0	0.139119162303456	0	0.181486183726697	0	0	0.0555657176795022	0.0445974961765278	0.0663723814620852	0.0539830016142693	0.0495159548956577	0.172750510490341	0	0.0656464507283075	0	0.00697282843090901	0	0.0140971803645938	0	0.31899937006754	0.950879826993364
TCGA-61-1995-01	0	0.0715463592525457	0.0396805647103383	0.0476763602735447	0	0.252351458594381	0	0.0429091008928544	0.106112671142522	0	0	0.0135664344133263	0.0376946929686813	0.127612660994344	0.0502098475665653	0.205079106941299	0	0.00556074224959814	0	0	0	0	0	0.300985803587219	0.962568002931265
TCGA-24-2297-01	0.10701046369431	0	0.112815418938234	0	0	0.191237016370522	0	0.092643224665748	0.0248705962351348	0	0	0.0782078722446618	0.0668409271523288	0.0990361291968195	0	0.127449589877151	0	0.0998887616250902	0	0	0	0	0.09	0.113383723429083	1.03181650606437
TCGA-24-1555-01	0.0547207825447118	0	0.0190578819467844	0.0698628566425187	0	0.225450242758174	0	0.0770964168961085	0.026357836720193	0	0	0.0591273523909651	0.053438521991497	0.133962639126338	0.0598726519428813	0.18770392677388	0	0.0333488902659485	0	0	0	0	0	0.179078204912663	1.0185478853771
TCGA-25-1322-01	0.0218361677711759	0.00143009305907159	0.107370411588689	0	0	0.178491413914699	0	0.140509729223175	0	0.00889576663237201	0	0.0985905588283168	0	0.0803916312991085	0.038419275995163	0.206202996045301	0	0.0576111138045535	0	0	0	0.060250841838375	0	0.177469929628385	1.01244025970624
TCGA-24-1427-01	0	0.0453218480301655	0.130561074932519	0.220658274584045	0	0.0385165660198772	0	0.145454152428953	0	0	0.0463378873038143	0.0090598335068704	0.0700193841155733	0.0306741199933954	0.0367848687848209	0.186459496097333	0	0.0401524942026322	0	0	0	0	0	0.279238191486159	0.968212675237495
TCGA-29-1698-01	0.120230507536296	0	0.121749945706091	0.020356005756991	0	0.156979467368118	0	0.0944304389516142	0.0592486194153628	0	0	0.0384608442312379	0.0661666199589281	0.0566812685356982	0.0490564702012617	0.148786861076445	0	0.0678529512619563	0	0	0	0	0	0.258102148454918	0.973975115852126
TCGA-23-1023-01	0	0	0.0940129828253982	0.0806004723616081	0	0.139138021242959	0	0.0750481819237149	0.073207454169649	0	0.0458534446595966	0.0345337891226336	0.0747550064259477	0.152789471792166	0.0548399414573802	0.0958176077866536	0	0.0544447217542268	0.0208825588710305	0	0	0.00407634560703601	0	0.282021248418311	0.967844629067011
